customer,state,customer lifetime value,response,coverage,education,effective to date,employment status,gender,income,location code,marital status,monthly premium auto,months since last claim,months since policy inception,number of open complaints,number of policies,policy type,policy,renew offer type,sales channel,total claim amount,vehicle class,vehicle size,vehicle type,month,response_numerical,claims
KR82385,California,5454.587929,No,Basic,Master,1/26/11,Employed,M,"(44428.0, 68532.8]",Suburban,Single,69,25.0,25,0.0,4,Personal Auto,Personal L3,Offer4,Call Center,331.2,Two-Door Car,Medsize,A,1,0,"(302.4, 334.039]"
TL59568,Arizona,12836.00951,No,Premium,High School or Below,2/28/11,Unemployed,M,"(-0.001, 25820.0]",Suburban,Married,116,6.0,28,0.0,2,Personal Auto,Personal L2,Offer3,Agent,835.2,Two-Door Car,Medsize,M,2,0,"(773.434, 2893.24]"
CW49887,California,4626.801093,Yes,Basic,Master,1/16/11,Employed,F,"(68532.8, 99981.0]",Suburban,Divorced,114,20.0,87,0.0,1,Special Auto,Special L1,Offer2,Branch,547.2,SUV,Medsize,M,1,1,"(513.6, 599.062]"
FH51383,California,5326.677654,No,Basic,High School or Below,2/7/11,Employed,F,"(68532.8, 99981.0]",Urban,Married,66,26.0,10,0.0,6,Personal Auto,Personal L3,Offer4,Call Center,300.528579,Two-Door Car,Large,A,2,0,"(212.799, 302.4]"
TR26615,Oregon,2497.531509,No,Basic,High School or Below,1/17/11,Unemployed,M,"(-0.001, 25820.0]",Urban,Married,69,5.0,74,0.0,1,Corporate Auto,Corporate L2,Offer2,Branch,272.381465,Two-Door Car,Medsize,A,1,0,"(212.799, 302.4]"
ZC97968,California,2736.352663,No,Basic,College,2/14/11,Disabled,M,"(-0.001, 25820.0]",Suburban,Married,73,10.0,1,0.0,1,Personal Auto,Personal L3,Offer1,Agent,350.4,Two-Door Car,Medsize,A,2,0,"(334.039, 383.945]"
NJ54277,California,3746.751625,Yes,Extended,College,2/26/11,Employed,F,"(25820.0, 44428.0]",Rural,Married,94,14.0,38,1.0,1,Personal Auto,Personal L2,Offer2,Call Center,19.575683,Two-Door Car,Large,A,2,1,"(0.098, 104.085]"
OM80593,California,7247.313475,No,Basic,Bachelor,2/23/11,Unemployed,F,"(-0.001, 25820.0]",Suburban,Single,104,9.0,58,0.0,7,Personal Auto,Personal L3,Offer1,Call Center,499.2,SUV,Medsize,A,2,0,"(453.6, 513.6]"
RL65736,Oregon,6274.447705,No,Extended,High School or Below,2/14/11,Medical Leave,F,"(-0.001, 25820.0]",Suburban,Single,85,29.0,37,0.0,3,Personal Auto,Personal L1,Offer1,Agent,408.0,Four-Door Car,Small,M,2,0,"(383.945, 453.6]"
EQ62488,Oregon,15031.5645,No,Basic,College,1/15/11,Employed,F,"(44428.0, 68532.8]",Suburban,Married,189,11.0,7,0.0,8,Personal Auto,Personal L3,Offer2,Call Center,907.2,Luxury Car,Large,A,1,0,"(773.434, 2893.24]"
YK32760,Oregon,2502.209885,No,Basic,High School or Below,2/15/11,Unemployed,M,"(-0.001, 25820.0]",Suburban,Divorced,74,26.0,95,1.0,1,Corporate Auto,Corporate L1,Offer1,Agent,355.2,Four-Door Car,Medsize,A,2,0,"(334.039, 383.945]"
AY59197,Nevada,9521.222806,No,Extended,College,1/24/11,Employed,M,"(25820.0, 44428.0]",Rural,Married,121,24.0,78,0.0,6,Special Auto,Special L3,Offer4,Agent,123.15416,SUV,Small,A,1,0,"(104.085, 212.799]"
XF15789,Arizona,8869.619888,No,Basic,College,2/21/11,Employed,F,"(68532.8, 99981.0]",Rural,Married,110,1.0,28,0.0,9,Personal Auto,Personal L3,Offer3,Branch,228.185834,SUV,Large,A,2,0,"(212.799, 302.4]"
MQ68407,Oregon,4376.363592,Yes,Premium,Bachelor,2/28/11,Employed,F,"(44428.0, 68532.8]",Rural,Divorced,111,18.0,63,0.0,1,Personal Auto,Personal L3,Offer2,Agent,60.036683,Four-Door Car,Medsize,M,2,1,"(0.098, 104.085]"
CI99444,Nevada,2926.886293,No,Basic,College,2/22/11,Employed,F,"(68532.8, 99981.0]",Urban,Married,72,24.0,27,0.0,1,Special Auto,Special L2,Offer2,Call Center,234.774747,Four-Door Car,Medsize,A,2,0,"(212.799, 302.4]"
BD70337,California,24706.92011,No,Basic,High School or Below,1/7/11,Medical Leave,M,"(25820.0, 44428.0]",Urban,Married,73,26.0,1,0.0,2,Personal Auto,Personal L2,Offer4,Call Center,313.192439,Four-Door Car,Medsize,M,1,0,"(302.4, 334.039]"
GX19342,California,8491.465719,No,Premium,High School or Below,1/28/11,Unemployed,F,"(-0.001, 25820.0]",Suburban,Single,116,3.0,97,0.0,3,Personal Auto,Personal L3,Offer1,Branch,1193.115879,Four-Door Car,Large,A,1,0,"(773.434, 2893.24]"
DP19210,California,9191.733549,No,Basic,Master,2/8/11,Employed,F,"(-0.001, 25820.0]",Suburban,Married,115,5.0,39,0.0,6,Corporate Auto,Corporate L2,Offer2,Branch,567.48055,Sports Car,Medsize,M,2,0,"(513.6, 599.062]"
OJ63606,Arizona,5776.338737,No,Premium,High School or Below,1/28/11,Medical Leave,F,"(25820.0, 44428.0]",Suburban,Married,159,5.0,28,3.0,1,Corporate Auto,Corporate L3,Offer1,Call Center,871.457982,SUV,Small,A,1,0,"(773.434, 2893.24]"
OH23893,California,9115.57169,No,Basic,Bachelor,2/15/11,Employed,F,"(68532.8, 99981.0]",Rural,Married,114,19.0,45,0.0,6,Personal Auto,Personal L1,Offer1,Branch,173.080024,SUV,Medsize,M,2,0,"(104.085, 212.799]"
RI76930,California,4163.04081,No,Basic,College,2/12/11,Employed,F,"(25820.0, 44428.0]",Suburban,Married,104,16.0,11,0.0,1,Personal Auto,Personal L3,Offer2,Call Center,499.2,SUV,Large,M,2,0,"(453.6, 513.6]"
YK26558,California,5264.642009,No,Basic,College,2/20/11,Unemployed,F,"(-0.001, 25820.0]",Rural,Divorced,72,30.0,26,0.0,8,Special Auto,Special L3,Offer1,Branch,135.888306,Four-Door Car,Medsize,M,2,0,"(104.085, 212.799]"
OE15005,California,3945.241604,No,Basic,College,1/5/11,Medical Leave,M,"(25820.0, 44428.0]",Suburban,Married,101,12.0,59,0.0,1,Personal Auto,Personal L2,Offer3,Call Center,647.442031,SUV,Medsize,M,1,0,"(599.062, 773.434]"
RA17555,Oregon,5176.730072,No,Basic,High School or Below,2/7/11,Employed,M,"(25820.0, 44428.0]",Urban,Married,65,2.0,46,0.0,9,Corporate Auto,Corporate L2,Offer3,Agent,232.879766,Four-Door Car,Medsize,M,2,0,"(212.799, 302.4]"
ZI34278,Arizona,4492.23348,No,Basic,Bachelor,1/28/11,Medical Leave,F,"(-0.001, 25820.0]",Suburban,Single,61,29.0,62,1.0,6,Personal Auto,Personal L1,Offer2,Web,292.8,Four-Door Car,Medsize,M,1,0,"(212.799, 302.4]"
XD72019,Oregon,8470.043225,No,Extended,Bachelor,2/19/11,Unemployed,F,"(-0.001, 25820.0]",Suburban,Single,82,1.0,13,0.0,2,Personal Auto,Personal L2,Offer2,Web,479.312226,Four-Door Car,Large,A,2,0,"(453.6, 513.6]"
RR93140,California,2880.348532,No,Basic,College,1/5/11,Employed,F,"(68532.8, 99981.0]",Urban,Married,71,19.0,54,0.0,1,Personal Auto,Personal L2,Offer2,Branch,190.642833,Four-Door Car,Medsize,A,1,0,"(104.085, 212.799]"
BE25221,Arizona,6182.618843,No,Extended,High School or Below,2/7/11,Medical Leave,M,"(-0.001, 25820.0]",Suburban,Married,82,35.0,51,0.0,9,Corporate Auto,Corporate L3,Offer1,Agent,473.266879,Four-Door Car,Medsize,M,2,0,"(453.6, 513.6]"
PV62583,Nevada,9799.175061,No,Extended,College,1/3/11,Medical Leave,M,"(-0.001, 25820.0]",Suburban,Married,126,10.0,22,0.0,6,Personal Auto,Personal L3,Offer1,Web,604.8,SUV,Medsize,A,1,0,"(599.062, 773.434]"
BL12371,Arizona,5790.565333,No,Basic,Master,2/3/11,Employed,M,"(68532.8, 99981.0]",Rural,Divorced,72,10.0,82,0.0,5,Personal Auto,Personal L3,Offer2,Agent,28.92584,Four-Door Car,Large,A,2,0,"(0.098, 104.085]"
ER49844,Arizona,5041.447024,No,Basic,College,1/19/11,Employed,M,"(44428.0, 68532.8]",Rural,Married,64,2.0,52,2.0,5,Personal Auto,Personal L1,Offer4,Call Center,138.961963,Four-Door Car,Medsize,M,1,0,"(104.085, 212.799]"
RI22468,Arizona,5745.94334,No,Basic,Bachelor,1/22/11,Employed,F,"(44428.0, 68532.8]",Urban,Married,74,30.0,87,3.0,9,Personal Auto,Personal L1,Offer3,Web,269.905129,Four-Door Car,Medsize,A,1,0,"(212.799, 302.4]"
SY48591,Arizona,4827.77681,No,Basic,College,1/17/11,Unemployed,F,"(-0.001, 25820.0]",Suburban,Single,68,29.0,91,0.0,6,Personal Auto,Personal L3,Offer1,Branch,326.4,Four-Door Car,Medsize,M,1,0,"(302.4, 334.039]"
PR23514,California,7664.219255,No,Basic,College,1/23/11,Employed,M,"(44428.0, 68532.8]",Rural,Divorced,199,7.0,44,1.0,1,Personal Auto,Personal L3,Offer2,Web,161.61574,Luxury SUV,Medsize,M,1,0,"(104.085, 212.799]"
UY32623,California,3593.12645,No,Extended,College,2/5/11,Disabled,F,"(-0.001, 25820.0]",Suburban,Divorced,96,12.0,43,1.0,1,Corporate Auto,Corporate L2,Offer1,Branch,460.8,Four-Door Car,Large,A,2,0,"(453.6, 513.6]"
QV30663,Nevada,9863.502214,No,Extended,Master,2/28/11,Employed,F,"(68532.8, 99981.0]",Rural,Married,121,13.0,95,0.0,3,Personal Auto,Personal L3,Offer3,Call Center,272.788141,SUV,Medsize,A,2,0,"(212.799, 302.4]"
MS94619,California,5111.304579,No,Basic,High School or Below,2/13/11,Employed,F,"(68532.8, 99981.0]",Suburban,Married,63,9.0,13,0.0,3,Personal Auto,Personal L3,Offer3,Web,302.4,Four-Door Car,Medsize,A,2,0,"(212.799, 302.4]"
TX39594,Arizona,2452.491364,No,Basic,High School or Below,1/25/11,Employed,F,"(44428.0, 68532.8]",Suburban,Married,62,4.0,58,1.0,1,Personal Auto,Personal L3,Offer3,Call Center,406.902001,Two-Door Car,Small,M,1,0,"(383.945, 453.6]"
GR42174,Oregon,2194.668123,No,Basic,College,1/2/11,Unemployed,M,"(-0.001, 25820.0]",Suburban,Single,62,11.0,48,0.0,1,Personal Auto,Personal L3,Offer4,Call Center,623.525433,Four-Door Car,Medsize,M,1,0,"(599.062, 773.434]"
XI79589,California,4473.883999,No,Extended,High School or Below,2/16/11,Unemployed,F,"(-0.001, 25820.0]",Suburban,Divorced,125,2.0,84,0.0,1,Personal Auto,Personal L1,Offer1,Branch,600.0,SUV,Medsize,M,2,0,"(599.062, 773.434]"
XQ74827,Arizona,19435.62924,No,Extended,High School or Below,2/1/11,Employed,F,"(25820.0, 44428.0]",Suburban,Single,249,22.0,6,0.0,3,Special Auto,Special L3,Offer1,Agent,2294.631639,Luxury Car,Medsize,A,2,0,"(773.434, 2893.24]"
TW17878,Oregon,2457.576007,No,Basic,High School or Below,1/27/11,Employed,F,"(44428.0, 68532.8]",Suburban,Married,61,2.0,92,0.0,1,Personal Auto,Personal L3,Offer1,Call Center,292.8,Four-Door Car,Medsize,M,1,0,"(212.799, 302.4]"
GB43363,Oregon,6870.607058,No,Premium,College,1/24/11,Unemployed,M,"(-0.001, 25820.0]",Suburban,Single,105,5.0,87,0.0,3,Personal Auto,Personal L3,Offer1,Branch,756.0,Four-Door Car,Small,A,1,0,"(599.062, 773.434]"
IQ95180,Oregon,5651.396772,No,Basic,Bachelor,1/19/11,Employed,M,"(44428.0, 68532.8]",Suburban,Married,71,16.0,99,1.0,9,Personal Auto,Personal L3,Offer1,Branch,396.035334,Four-Door Car,Small,A,1,0,"(383.945, 453.6]"
JX52708,California,4556.068318,No,Basic,Bachelor,2/14/11,Medical Leave,M,"(-0.001, 25820.0]",Suburban,Divorced,63,22.0,3,0.0,3,Personal Auto,Personal L3,Offer2,Call Center,302.4,Two-Door Car,Medsize,A,2,0,"(212.799, 302.4]"
AV25133,Oregon,3095.705571,No,Extended,College,1/12/11,Unemployed,F,"(-0.001, 25820.0]",Suburban,Single,92,31.0,24,1.0,1,Personal Auto,Personal L3,Offer3,Web,774.892461,Two-Door Car,Small,M,1,0,"(773.434, 2893.24]"
WL24392,Arizona,5860.16743,No,Basic,Bachelor,2/1/11,Employed,M,"(68532.8, 99981.0]",Rural,Married,73,16.0,32,0.0,3,Personal Auto,Personal L1,Offer1,Agent,41.464402,Four-Door Car,Medsize,A,2,0,"(0.098, 104.085]"
LO57874,Oregon,2300.691547,Yes,Basic,Bachelor,1/15/11,Retired,M,"(25820.0, 44428.0]",Suburban,Divorced,63,21.0,12,0.0,1,Corporate Auto,Corporate L3,Offer1,Agent,302.4,Four-Door Car,Large,M,1,1,"(212.799, 302.4]"
UO54511,California,4950.250892,No,Basic,High School or Below,1/20/11,Employed,F,"(25820.0, 44428.0]",Suburban,Married,63,14.0,78,1.0,9,Personal Auto,Personal L1,Offer3,Agent,302.4,Four-Door Car,Medsize,A,1,0,"(212.799, 302.4]"
NY12562,Nevada,2224.089639,No,Basic,College,1/5/11,Unemployed,F,"(-0.001, 25820.0]",Suburban,Single,64,20.0,4,0.0,1,Corporate Auto,Corporate L2,Offer2,Branch,483.25721,Four-Door Car,Medsize,A,1,0,"(453.6, 513.6]"
QG27547,Oregon,2867.312197,Yes,Extended,Bachelor,1/3/11,Retired,F,"(-0.001, 25820.0]",Suburban,Divorced,78,19.0,18,0.0,1,Personal Auto,Personal L3,Offer2,Call Center,374.4,Four-Door Car,Medsize,A,1,1,"(334.039, 383.945]"
PH78214,Oregon,5427.174517,No,Basic,College,2/11/11,Medical Leave,F,"(25820.0, 44428.0]",Suburban,Married,72,10.0,82,1.0,3,Personal Auto,Personal L3,Offer2,Agent,345.6,Four-Door Car,Medsize,M,2,0,"(334.039, 383.945]"
LO37570,Arizona,12157.5413,No,Extended,High School or Below,1/7/11,Employed,M,"(25820.0, 44428.0]",Suburban,Married,77,21.0,66,0.0,2,Personal Auto,Personal L3,Offer3,Agent,369.6,Four-Door Car,Medsize,A,1,0,"(334.039, 383.945]"
FH81409,California,8152.244431,No,Extended,High School or Below,1/21/11,Unemployed,M,"(-0.001, 25820.0]",Suburban,Single,79,19.0,70,0.0,2,Personal Auto,Personal L1,Offer1,Agent,568.8,Four-Door Car,Small,M,1,0,"(513.6, 599.062]"
RW65977,Arizona,2191.133237,No,Basic,College,1/29/11,Unemployed,M,"(-0.001, 25820.0]",Suburban,Single,61,9.0,16,1.0,1,Special Auto,Special L2,Offer1,Agent,439.2,Four-Door Car,Medsize,M,1,0,"(383.945, 453.6]"
LD75023,Oregon,26346.08582,No,Extended,High School or Below,1/20/11,Employed,M,"(44428.0, 68532.8]",Suburban,Divorced,223,28.0,26,0.0,2,Personal Auto,Personal L2,Offer1,Web,1605.6,Luxury SUV,Medsize,M,1,0,"(773.434, 2893.24]"
OZ92426,Oregon,2364.43161,No,Basic,College,1/18/11,Employed,M,"(44428.0, 68532.8]",Urban,Single,62,17.0,75,0.0,1,Corporate Auto,Corporate L1,Offer4,Branch,199.37361,Four-Door Car,Medsize,M,1,0,"(104.085, 212.799]"
FI17798,California,2710.12066,No,Basic,Doctor,1/11/11,Unemployed,M,"(-0.001, 25820.0]",Suburban,Married,71,7.0,87,0.0,1,Personal Auto,Personal L3,Offer1,Agent,340.8,Four-Door Car,Small,M,1,0,"(334.039, 383.945]"
YC54142,Washington,74228.51604,No,Extended,High School or Below,1/26/11,Unemployed,M,"(-0.001, 25820.0]",Suburban,Single,242,1.0,34,0.0,2,Personal Auto,Personal L1,Offer1,Branch,1742.4,Luxury Car,Medsize,M,1,0,"(773.434, 2893.24]"
LN28900,California,14687.07959,No,Extended,Bachelor,2/23/11,Unemployed,M,"(-0.001, 25820.0]",Suburban,Single,85,3.0,61,0.0,2,Personal Auto,Personal L1,Offer1,Web,612.0,Four-Door Car,Small,A,2,0,"(599.062, 773.434]"
SX63814,Arizona,9312.585034,No,Premium,High School or Below,2/13/11,Employed,M,"(68532.8, 99981.0]",Rural,Married,115,11.0,44,0.0,3,Personal Auto,Personal L3,Offer3,Call Center,89.119797,Four-Door Car,Medsize,M,2,0,"(0.098, 104.085]"
VM85555,California,7750.120323,No,Basic,College,2/23/11,Employed,F,"(-0.001, 25820.0]",Rural,Single,67,5.0,34,1.0,2,Personal Auto,Personal L2,Offer3,Branch,33.718553,Four-Door Car,Medsize,A,2,0,"(0.098, 104.085]"
RO18530,Washington,2540.689797,No,Basic,Master,2/28/11,Employed,M,"(25820.0, 44428.0]",Rural,Single,65,4.0,35,0.0,1,Personal Auto,Personal L3,Offer4,Agent,57.562324,Four-Door Car,Large,M,2,0,"(0.098, 104.085]"
FR48094,Arizona,2456.816127,No,Basic,High School or Below,2/15/11,Unemployed,M,"(-0.001, 25820.0]",Suburban,Single,73,15.0,59,0.0,1,Personal Auto,Personal L3,Offer4,Branch,525.6,Four-Door Car,Small,A,2,0,"(513.6, 599.062]"
DY27653,Oregon,3755.806897,No,Extended,High School or Below,1/4/11,Employed,F,"(44428.0, 68532.8]",Suburban,Married,94,1.0,39,0.0,1,Personal Auto,Personal L3,Offer2,Branch,451.2,Four-Door Car,Medsize,M,1,0,"(383.945, 453.6]"
CH50584,Oregon,32474.76977,No,Basic,High School or Below,1/22/11,Employed,M,"(68532.8, 99981.0]",Suburban,Divorced,102,17.0,7,0.0,2,Personal Auto,Personal L3,Offer4,Call Center,734.4,SUV,Small,A,1,0,"(599.062, 773.434]"
KO86181,Oregon,6941.872931,No,Basic,College,2/11/11,Unemployed,F,"(-0.001, 25820.0]",Suburban,Single,111,3.0,73,3.0,6,Personal Auto,Personal L3,Offer1,Agent,532.8,SUV,Small,A,2,0,"(513.6, 599.062]"
KD63933,California,7048.384055,No,Basic,College,2/19/11,Medical Leave,M,"(-0.001, 25820.0]",Suburban,Single,194,14.0,0,0.0,1,Personal Auto,Personal L1,Offer1,Agent,970.688934,Luxury SUV,Medsize,M,2,0,"(773.434, 2893.24]"
CM66204,Arizona,26770.44534,No,Basic,College,1/23/11,Employed,F,"(25820.0, 44428.0]",Urban,Married,113,32.0,7,1.0,2,Personal Auto,Personal L2,Offer1,Call Center,355.818306,SUV,Large,M,1,0,"(334.039, 383.945]"
NV13794,Nevada,9549.113813,No,Basic,High School or Below,2/9/11,Employed,F,"(44428.0, 68532.8]",Urban,Married,119,3.0,60,0.0,9,Personal Auto,Personal L1,Offer1,Agent,388.506303,SUV,Small,M,2,0,"(383.945, 453.6]"
HF75891,Washington,4331.460674,No,Basic,High School or Below,2/11/11,Employed,F,"(68532.8, 99981.0]",Suburban,Married,106,11.0,92,0.0,1,Personal Auto,Personal L2,Offer1,Branch,722.178166,SUV,Medsize,M,2,0,"(599.062, 773.434]"
NB81923,Washington,7294.492993,No,Basic,College,2/24/11,Unemployed,F,"(-0.001, 25820.0]",Suburban,Single,113,12.0,66,2.0,7,Personal Auto,Personal L3,Offer1,Call Center,733.737214,Sports Car,Medsize,A,2,0,"(599.062, 773.434]"
AV96010,Oregon,3289.120863,No,Extended,College,1/29/11,Employed,M,"(25820.0, 44428.0]",Rural,Single,92,23.0,35,4.0,1,Personal Auto,Personal L2,Offer1,Call Center,227.221652,Two-Door Car,Medsize,M,1,0,"(212.799, 302.4]"
PK23339,Arizona,3417.953745,No,Extended,High School or Below,1/25/11,Employed,F,"(68532.8, 99981.0]",Urban,Married,85,9.0,76,0.0,1,Personal Auto,Personal L2,Offer2,Call Center,370.018108,Four-Door Car,Medsize,A,1,0,"(334.039, 383.945]"
JY66887,California,16320.76716,No,Extended,High School or Below,2/27/11,Unemployed,F,"(-0.001, 25820.0]",Suburban,Single,247,5.0,12,3.0,5,Personal Auto,Personal L2,Offer2,Branch,1778.4,Luxury Car,Medsize,M,2,0,"(773.434, 2893.24]"
NH16984,California,2838.067784,No,Extended,Bachelor,2/7/11,Unemployed,F,"(-0.001, 25820.0]",Urban,Divorced,80,30.0,8,0.0,1,Personal Auto,Personal L1,Offer1,Web,336.50961,Four-Door Car,Medsize,M,2,0,"(334.039, 383.945]"
UV12583,California,4700.583771,No,Basic,College,2/18/11,Employed,F,"(68532.8, 99981.0]",Suburban,Married,117,34.0,23,0.0,1,Personal Auto,Personal L1,Offer4,Agent,561.6,SUV,Medsize,A,2,0,"(513.6, 599.062]"
VG56765,Arizona,2471.528431,Yes,Basic,High School or Below,1/15/11,Employed,M,"(68532.8, 99981.0]",Rural,Married,61,16.0,55,0.0,1,Personal Auto,Personal L2,Offer2,Agent,114.273025,Two-Door Car,Medsize,A,1,1,"(104.085, 212.799]"
AK11669,Arizona,10130.93442,No,Extended,Doctor,1/17/11,Employed,F,"(44428.0, 68532.8]",Suburban,Divorced,85,6.0,75,0.0,2,Corporate Auto,Corporate L3,Offer3,Branch,408.0,Two-Door Car,Medsize,A,1,0,"(383.945, 453.6]"
SZ60450,California,3419.108695,No,Extended,High School or Below,2/13/11,Employed,M,"(25820.0, 44428.0]",Rural,Married,86,8.0,64,0.0,1,Personal Auto,Personal L3,Offer3,Agent,23.387192,Two-Door Car,Medsize,M,2,0,"(0.098, 104.085]"
MS87381,California,23866.15656,No,Extended,High School or Below,2/14/11,Unemployed,F,"(-0.001, 25820.0]",Suburban,Married,81,27.0,93,1.0,2,Personal Auto,Personal L2,Offer3,Branch,388.8,Four-Door Car,Medsize,A,2,0,"(383.945, 453.6]"
No31089,Arizona,3179.474225,No,Extended,Bachelor,1/21/11,Employed,F,"(44428.0, 68532.8]",Urban,Married,79,6.0,0,0.0,1,Personal Auto,Personal L3,Offer2,Call Center,277.360797,Four-Door Car,Medsize,M,1,0,"(212.799, 302.4]"
TK65222,California,16407.66461,No,Premium,Bachelor,1/12/11,Employed,M,"(-0.001, 25820.0]",Rural,Single,109,16.0,31,0.0,2,Personal Auto,Personal L2,Offer1,Agent,160.338007,Four-Door Car,Large,M,1,0,"(104.085, 212.799]"
HB48073,Arizona,9371.773682,No,Basic,Bachelor,2/1/11,Employed,F,"(44428.0, 68532.8]",Urban,Married,117,10.0,10,0.0,5,Corporate Auto,Corporate L2,Offer1,Agent,497.719213,SUV,Medsize,A,2,0,"(453.6, 513.6]"
DO60145,Arizona,4270.034394,Yes,Extended,College,1/19/11,Unemployed,M,"(-0.001, 25820.0]",Suburban,Married,122,27.0,2,0.0,1,Personal Auto,Personal L3,Offer2,Agent,725.870693,SUV,Medsize,M,1,1,"(599.062, 773.434]"
BA40043,California,5799.826802,No,Basic,College,1/3/11,Employed,M,"(44428.0, 68532.8]",Rural,Single,74,29.0,67,0.0,7,Corporate Auto,Corporate L2,Offer2,Branch,5.746657,Four-Door Car,Medsize,M,1,0,"(0.098, 104.085]"
EC28398,Oregon,5096.673223,Yes,Basic,Master,1/28/11,Disabled,F,"(-0.001, 25820.0]",Suburban,Divorced,65,9.0,81,0.0,3,Corporate Auto,Corporate L2,Offer1,Agent,312.0,Four-Door Car,Small,A,1,1,"(302.4, 334.039]"
FE99816,Nevada,15563.36944,No,Premium,Bachelor,1/19/11,Unemployed,F,"(-0.001, 25820.0]",Suburban,Married,253,15.0,40,5.0,7,Personal Auto,Personal L1,Offer3,Web,1214.4,Luxury Car,Medsize,A,1,0,"(773.434, 2893.24]"
HS39343,Washington,7475.784971,No,Basic,Bachelor,1/26/11,Disabled,F,"(25820.0, 44428.0]",Urban,Married,196,26.0,57,0.0,1,Corporate Auto,Corporate L3,Offer1,Agent,534.653787,Luxury Car,Medsize,A,1,0,"(513.6, 599.062]"
GL44478,Oregon,9986.661111,No,Extended,High School or Below,1/22/11,Disabled,M,"(-0.001, 25820.0]",Suburban,Single,132,12.0,2,0.0,6,Corporate Auto,Corporate L3,Offer2,Branch,633.6,Sports Car,Medsize,M,1,0,"(599.062, 773.434]"
EF84269,California,5568.656492,No,Extended,College,2/21/11,Employed,F,"(44428.0, 68532.8]",Rural,Married,139,14.0,10,0.0,1,Personal Auto,Personal L2,Offer1,Web,236.739322,SUV,Medsize,A,2,0,"(212.799, 302.4]"
RD22761,Washington,20579.69157,No,Basic,Bachelor,1/16/11,Unemployed,M,"(-0.001, 25820.0]",Suburban,Single,69,5.0,26,0.0,2,Personal Auto,Personal L3,Offer3,Call Center,566.673518,Four-Door Car,Medsize,A,1,0,"(513.6, 599.062]"
DO41287,Oregon,8276.44416,No,Extended,High School or Below,2/18/11,Unemployed,M,"(-0.001, 25820.0]",Suburban,Single,82,29.0,92,0.0,2,Personal Auto,Personal L2,Offer3,Branch,590.4,Four-Door Car,Medsize,A,2,0,"(513.6, 599.062]"
OO89057,California,4014.332715,No,Extended,Master,2/17/11,Employed,F,"(44428.0, 68532.8]",Rural,Married,99,7.0,55,0.0,1,Personal Auto,Personal L2,Offer2,Branch,5.661684,Four-Door Car,Medsize,M,2,0,"(0.098, 104.085]"
